Time,Flow
9/25/2022 0:03,157.17
9/25/2022 0:04,157.1
9/25/2022 0:07,156.86
9/25/2022 0:07,156.79
9/25/2022 0:09,156.64
9/25/2022 0:11,156.42
9/25/2022 0:11,156.41
9/25/2022 0:14,156.13
9/25/2022 0:15,156.01
9/25/2022 0:17,155.75
9/25/2022 0:19,155.61
9/25/2022 0:21,155.4
9/25/2022 0:22,155.23
9/25/2022 0:23,155.17
9/25/2022 0:26,154.85
9/25/2022 0:27,154.75
9/25/2022 0:31,154.43
9/25/2022 0:31,154.42
9/25/2022 0:33,154.17
9/25/2022 0:34,154.06
9/25/2022 0:34,154.06
9/25/2022 0:34,154.06
9/25/2022 0:36,153.84
9/25/2022 0:38,153.61
9/25/2022 0:40,153.42
9/25/2022 0:42,153.26
9/25/2022 0:46,152.92
9/25/2022 0:47,152.88
9/25/2022 0:51,152.46
9/25/2022 0:51,152.46
9/25/2022 0:53,152.31
9/25/2022 0:53,152.31
9/25/2022 0:54,152.17
9/25/2022 0:55,152.04
9/25/2022 0:59,151.6
9/25/2022 1:00,151.49
9/25/2022 1:02,151.13
9/25/2022 1:03,151.09
9/25/2022 1:04,151.01
9/25/2022 1:04,151.01
9/25/2022 1:06,150.78
9/25/2022 1:07,150.7
9/25/2022 1:11,150.35
9/25/2022 1:12,150.21
9/25/2022 1:15,149.94
9/25/2022 1:15,149.92
9/25/2022 1:19,149.56
9/25/2022 1:20,149.4
9/25/2022 1:22,149.13
9/25/2022 1:23,149.13
9/25/2022 1:23,149.1
9/25/2022 1:27,148.74
9/25/2022 1:30,148.53
9/25/2022 1:31,148.36
9/25/2022 1:34,148.12
9/25/2022 1:35,147.99
9/25/2022 1:36,147.95
9/25/2022 1:39,147.66
9/25/2022 1:41,147.52
9/25/2022 1:45,147.08
9/25/2022 1:46,147
9/25/2022 1:51,146.61
9/25/2022 1:53,146.55
9/25/2022 1:53,146.55
9/25/2022 1:53,146.5
9/25/2022 1:56,146.24
9/25/2022 1:57,146.18
9/25/2022 2:04,145.79
9/25/2022 2:04,145.79
9/25/2022 2:08,145.52
9/25/2022 2:10,145.39
9/25/2022 2:19,144.94
9/25/2022 2:23,144.77
9/25/2022 2:23,144.77
9/25/2022 2:28,144.48
9/25/2022 2:32,144.26
9/25/2022 2:34,144.14
9/25/2022 2:34,144.14
9/25/2022 2:36,143.99
9/25/2022 2:53,143.34
9/25/2022 2:57,143.27
9/25/2022 3:01,143.27
9/25/2022 3:04,143.27
9/25/2022 3:11,143.43
9/25/2022 3:21,143.66
9/25/2022 3:23,143.7
9/25/2022 3:27,143.64
9/25/2022 3:27,143.63
9/25/2022 3:27,141.42
9/25/2022 3:28,127.51
9/25/2022 3:28,111.26
9/25/2022 3:29,95.32
9/25/2022 3:29,79.34
9/25/2022 3:29,74.66
9/25/2022 3:29,64.3
9/25/2022 3:30,49.51
9/25/2022 3:30,36.08
9/25/2022 3:31,23.69
9/25/2022 3:31,13.49
9/25/2022 3:31,12.52
9/25/2022 3:32,5.35
9/25/2022 3:32,0.65
9/25/2022 3:32,0
9/25/2022 3:32,0
9/25/2022 3:33,0
9/25/2022 3:34,0
9/25/2022 3:34,0
9/25/2022 3:36,0
9/25/2022 3:38,0
9/25/2022 3:38,0
9/25/2022 3:41,0
9/25/2022 3:42,0
9/25/2022 3:43,0
9/25/2022 3:45,0
9/25/2022 3:46,0
9/25/2022 3:47,0
9/25/2022 3:49,0
9/25/2022 3:51,0
9/25/2022 3:53,0
9/25/2022 3:55,0
9/25/2022 3:56,0
9/25/2022 4:02,0
9/25/2022 4:03,0
9/25/2022 4:04,0
9/25/2022 4:04,0
9/25/2022 4:05,0
9/25/2022 4:07,0
9/25/2022 4:10,0
9/25/2022 4:12,0
9/25/2022 4:14,0
9/25/2022 4:18,0
9/25/2022 4:19,0
9/25/2022 4:22,0
9/25/2022 4:23,0
9/25/2022 4:23,0
9/25/2022 4:25,0
9/25/2022 4:26,0
9/25/2022 4:29,0
9/25/2022 4:30,0
9/25/2022 4:32,0
9/25/2022 4:34,0
9/25/2022 4:36,0
9/25/2022 4:38,0
9/25/2022 4:39,0
9/25/2022 4:42,0
9/25/2022 4:48,0
9/25/2022 4:49,0
9/25/2022 4:50,0
9/25/2022 4:51,0
9/25/2022 4:53,0
9/25/2022 4:53,0
9/25/2022 4:55,0
9/25/2022 4:56,0
9/25/2022 4:57,0
9/25/2022 4:58,0
9/25/2022 4:58,0
9/25/2022 5:01,0
9/25/2022 5:04,0
9/25/2022 5:08,0
9/25/2022 5:13,0
9/25/2022 5:14,0
9/25/2022 5:15,0
9/25/2022 5:17,0
9/25/2022 5:17,0
9/25/2022 5:21,0
9/25/2022 5:23,0
9/25/2022 5:26,0
9/25/2022 5:26,0
9/25/2022 5:28,0
9/25/2022 5:32,0
9/25/2022 5:34,0
9/25/2022 5:34,0
9/25/2022 5:37,0
9/25/2022 5:37,0
9/25/2022 5:38,0
9/25/2022 5:40,0
9/25/2022 5:45,0
9/25/2022 5:48,0
9/25/2022 5:51,0
9/25/2022 5:53,0
9/25/2022 5:53,0
9/25/2022 5:55,0
9/25/2022 5:55,0
9/25/2022 5:57,0
9/25/2022 5:59,0
9/25/2022 6:01,0
9/25/2022 6:03,0
9/25/2022 6:04,0
9/25/2022 6:05,0
9/25/2022 6:07,0
9/25/2022 6:09,0
9/25/2022 6:11,0
9/25/2022 6:15,0
9/25/2022 6:15,0
9/25/2022 6:17,0
9/25/2022 6:19,0
9/25/2022 6:21,0
9/25/2022 6:23,0
9/25/2022 6:24,0
9/25/2022 6:25,0
9/25/2022 6:26,0
9/25/2022 6:29,0
9/25/2022 6:34,0
9/25/2022 6:36,0
9/25/2022 6:38,0
9/25/2022 6:41,0
9/25/2022 6:44,0
9/25/2022 6:45,0
9/25/2022 6:47,0
9/25/2022 6:48,0
9/25/2022 6:51,0
9/25/2022 6:53,0
9/25/2022 6:53,0
9/25/2022 6:53,0
9/25/2022 6:58,0
9/25/2022 6:58,0
9/25/2022 7:01,0
9/25/2022 7:03,0
9/25/2022 7:04,0
9/25/2022 7:06,0
9/25/2022 7:10,0
9/25/2022 7:11,0
9/25/2022 7:14,0
9/25/2022 7:20,0
9/25/2022 7:23,0
9/25/2022 7:23,0
9/25/2022 7:24,0
9/25/2022 7:24,0
9/25/2022 7:25,0
9/25/2022 7:31,0
9/25/2022 7:34,0
9/25/2022 7:39,0
9/25/2022 7:41,0
9/25/2022 7:43,0
9/25/2022 7:47,0
9/25/2022 7:51,0
9/25/2022 7:53,0
9/25/2022 7:59,0
9/25/2022 8:03,0
9/25/2022 8:03,0
9/25/2022 8:04,0
9/25/2022 8:05,0
9/25/2022 8:15,0
9/25/2022 8:17,0
9/25/2022 8:23,0
9/25/2022 8:25,0
9/25/2022 8:26,0
9/25/2022 8:27,0
9/25/2022 8:32,0
9/25/2022 8:34,0
9/25/2022 8:40,0
9/25/2022 8:46,0
9/25/2022 8:51,0
9/25/2022 8:53,0
9/25/2022 8:53,0
9/25/2022 8:56,0
9/25/2022 9:02,0
9/25/2022 9:04,0
9/25/2022 9:04,0
9/25/2022 9:08,0
9/25/2022 9:09,0
