Time,Stage
9/25/2022 0:00,1.65
9/25/2022 0:01,1.62
9/25/2022 0:02,1.6
9/25/2022 0:07,1.57
9/25/2022 0:11,1.54
9/25/2022 0:15,1.51
9/25/2022 0:19,1.48
9/25/2022 0:23,1.45
9/25/2022 0:27,1.41
9/25/2022 0:30,1.41
9/25/2022 0:32,1.36
9/25/2022 0:33,1.39
9/25/2022 0:34,1.36
9/25/2022 0:39,1.33
9/25/2022 0:45,1.3
9/25/2022 0:48,1.26
9/25/2022 0:49,1.29
9/25/2022 0:52,1.27
9/25/2022 0:54,1.23
9/25/2022 0:55,1.27
9/25/2022 0:57,1.24
9/25/2022 1:00,1.21
9/25/2022 1:06,1.18
9/25/2022 1:11,1.15
9/25/2022 1:15,1.14
9/25/2022 1:18,1.11
9/25/2022 1:29,1.07
9/25/2022 1:30,1.08
9/25/2022 1:43,1.04
9/25/2022 1:45,1.05
9/25/2022 1:56,1.07
9/25/2022 1:57,1.01
9/25/2022 1:58,1.05
9/25/2022 1:59,1.02
9/25/2022 2:00,1.03
9/25/2022 2:02,1.05
9/25/2022 2:03,1.02
9/25/2022 2:09,1.05
9/25/2022 2:15,1.03
9/25/2022 2:30,1.06
9/25/2022 2:40,1.08
9/25/2022 2:45,1.1
9/25/2022 2:46,1.11
9/25/2022 2:54,1.13
9/25/2022 3:00,1.15
9/25/2022 3:06,1.16
9/25/2022 3:12,1.2
9/25/2022 3:15,1.21
9/25/2022 3:18,1.23
9/25/2022 3:25,1.27
9/25/2022 3:28,1.29
9/25/2022 3:29,1.26
9/25/2022 3:30,1.31
9/25/2022 3:35,1.34
9/25/2022 3:37,1.37
9/25/2022 3:38,1.34
9/25/2022 3:41,1.38
9/25/2022 3:45,1.42
9/25/2022 3:46,1.45
9/25/2022 3:48,1.41
9/25/2022 3:50,1.46
9/25/2022 3:51,1.43
9/25/2022 3:54,1.5
9/25/2022 3:56,1.45
9/25/2022 3:58,1.49
9/25/2022 3:59,1.53
9/25/2022 4:00,1.53
9/25/2022 4:03,1.56
9/25/2022 4:06,1.54
9/25/2022 4:07,1.57
9/25/2022 4:11,1.63
9/25/2022 4:15,1.65
9/25/2022 4:19,1.7
9/25/2022 4:20,1.73
9/25/2022 4:22,1.7
9/25/2022 4:23,1.67
9/25/2022 4:24,1.72
9/25/2022 4:29,1.78
9/25/2022 4:30,1.78
9/25/2022 4:35,1.81
9/25/2022 4:36,1.77
9/25/2022 4:37,1.85
9/25/2022 4:38,1.89
9/25/2022 4:39,1.92
9/25/2022 4:40,1.88
9/25/2022 4:44,1.85
9/25/2022 4:45,1.91
9/25/2022 4:49,1.87
9/25/2022 4:50,1.92
9/25/2022 4:51,1.96
9/25/2022 4:52,1.92
9/25/2022 4:54,1.96
9/25/2022 4:55,2.02
9/25/2022 5:00,2
9/25/2022 5:03,2.11
9/25/2022 5:04,2.05
9/25/2022 5:05,2.01
9/25/2022 5:06,2.07
9/25/2022 5:09,2.04
9/25/2022 5:10,2.11
9/25/2022 5:11,2.15
9/25/2022 5:13,2.11
9/25/2022 5:15,2.17
9/25/2022 5:17,2.11
9/25/2022 5:19,2.19
9/25/2022 5:20,2.24
9/25/2022 5:21,2.2
9/25/2022 5:24,2.23
9/25/2022 5:26,2.2
9/25/2022 5:27,2.27
9/25/2022 5:30,2.25
9/25/2022 5:31,2.24
9/25/2022 5:32,2.27
9/25/2022 5:36,2.32
9/25/2022 5:43,2.35
9/25/2022 5:44,2.38
9/25/2022 5:45,2.39
9/25/2022 5:50,2.41
9/25/2022 5:55,2.45
9/25/2022 6:00,2.47
9/25/2022 6:01,2.49
9/25/2022 6:05,2.52
9/25/2022 6:08,2.56
9/25/2022 6:13,2.59
9/25/2022 6:15,2.61
9/25/2022 6:19,2.65
9/25/2022 6:25,2.68
9/25/2022 6:28,2.72
9/25/2022 6:30,2.75
9/25/2022 6:34,2.78
9/25/2022 6:37,2.81
9/25/2022 6:38,2.79
9/25/2022 6:39,2.81
9/25/2022 6:40,2.79
9/25/2022 6:41,2.81
9/25/2022 6:44,2.85
9/25/2022 6:45,2.85
9/25/2022 6:48,2.88
9/25/2022 6:52,2.91
9/25/2022 6:58,2.94
9/25/2022 7:00,2.95
9/25/2022 7:02,2.97
9/25/2022 7:04,2.91
9/25/2022 7:05,2.99
9/25/2022 7:08,3.04
9/25/2022 7:15,3.05
9/25/2022 7:19,3.07
9/25/2022 7:22,3.09
9/25/2022 7:30,3.13
9/25/2022 7:39,3.1
9/25/2022 7:40,3.15
9/25/2022 7:44,3.18
9/25/2022 7:45,3.17
9/25/2022 7:48,3.21
9/25/2022 7:52,3.07
9/25/2022 7:53,3.17
9/25/2022 7:55,3.23
9/25/2022 7:56,3.19
9/25/2022 7:58,3.22
9/25/2022 8:00,3.2
9/25/2022 8:04,3.25
9/25/2022 8:06,3.21
9/25/2022 8:10,3.24
9/25/2022 8:15,3.21
9/25/2022 8:17,3.24
9/25/2022 8:30,3.23
9/25/2022 8:32,3.21
9/25/2022 8:36,3.25
9/25/2022 8:38,3.22
9/25/2022 8:45,3.2
9/25/2022 8:48,3.19
9/25/2022 8:50,3.22
9/25/2022 8:53,3.19
9/25/2022 9:00,3.17
9/25/2022 9:02,3.15
9/25/2022 9:09,3.12
9/25/2022 9:14,3.09
9/25/2022 9:15,3.1
9/25/2022 9:17,3.07
9/25/2022 9:24,3.04
9/25/2022 9:28,3
9/25/2022 9:30,2.98
9/25/2022 9:33,2.97
9/25/2022 9:38,2.93
9/25/2022 9:41,2.9
