Time,Flow
9/25/2022 0:00,156.8
9/25/2022 1:00,151.49
9/25/2022 2:00,146.18
9/25/2022 3:00,143.27
9/25/2022 4:00,0
9/25/2022 5:00,0
9/25/2022 6:00,0
9/25/2022 7:00,0
9/25/2022 8:00,0
9/25/2022 9:00,0
9/25/2022 10:00,0
9/25/2022 11:00,0
9/25/2022 12:00,160.54
9/25/2022 13:00,153.44
9/25/2022 14:00,147.04
9/25/2022 15:00,143.75
9/25/2022 16:00,0
9/25/2022 17:00,0
9/25/2022 18:00,0
9/25/2022 19:00,0
9/25/2022 20:00,0
9/25/2022 21:00,0
9/25/2022 22:00,0
9/25/2022 23:00,0
9/26/2022 0:00,0
9/26/2022 1:00,156.75
9/26/2022 2:00,149.73
9/26/2022 3:00,146
9/26/2022 4:00,0
9/26/2022 5:00,0
9/26/2022 6:00,0
9/26/2022 7:00,0
9/26/2022 8:00,0
9/26/2022 9:00,0
9/26/2022 10:00,0
9/26/2022 11:00,0
9/26/2022 12:00,0
9/26/2022 13:00,161.55
9/26/2022 14:00,153.79
9/26/2022 15:00,148.08
9/26/2022 16:00,148.46
9/26/2022 17:00,102.97
9/26/2022 18:00,0
9/26/2022 19:00,0
9/26/2022 20:00,0
9/26/2022 21:00,0
9/26/2022 22:00,228.13
9/26/2022 23:00,133.59
9/27/2022 0:00,100.28
9/27/2022 1:00,88.94
9/27/2022 2:00,100.42
9/27/2022 3:00,87.27
9/27/2022 4:00,63.78
9/27/2022 5:00,147.01
9/27/2022 6:00,0
9/27/2022 7:00,0
9/27/2022 8:00,0
9/27/2022 9:00,0
9/27/2022 10:00,0
9/27/2022 11:00,123.76
9/27/2022 12:00,166.96
9/27/2022 13:00,143.26
9/27/2022 14:00,125.07
9/27/2022 15:00,109.99
9/27/2022 16:00,88.12
9/27/2022 17:00,68.8
9/27/2022 18:00,0
9/27/2022 19:00,0
9/27/2022 20:00,0
9/27/2022 21:00,0
9/27/2022 22:00,0
9/27/2022 23:00,0
9/28/2022 0:00,222.89
9/28/2022 1:00,215.44
9/28/2022 2:00,125.36
9/28/2022 3:00,124
9/28/2022 4:00,108.36
9/28/2022 5:00,93.74
9/28/2022 6:00,155.86
9/28/2022 7:00,0
9/28/2022 8:00,0
9/28/2022 9:00,0
9/28/2022 10:00,0
9/28/2022 11:00,0
9/28/2022 12:00,0
9/28/2022 13:00,174.97
9/28/2022 14:00,207.82
9/28/2022 15:00,115.53
9/28/2022 16:00,103.33
9/28/2022 17:00,87.04
9/28/2022 18:00,59.38
9/28/2022 19:00,0
9/28/2022 20:00,0
9/28/2022 21:00,0
9/28/2022 22:00,0
9/28/2022 23:00,0
9/29/2022 0:00,87.63
9/29/2022 1:00,204.17
9/29/2022 2:00,110.08
9/29/2022 3:00,101.31
9/29/2022 4:00,86.8
9/29/2022 5:00,72.89
9/29/2022 6:00,52.78
9/29/2022 7:00,24.88
9/29/2022 8:00,0
9/29/2022 9:00,0
9/29/2022 10:00,0
9/29/2022 11:00,0
9/29/2022 12:00,0
9/29/2022 13:00,0
9/29/2022 14:00,162.81
9/29/2022 15:00,102.23
9/29/2022 16:00,94.37
9/29/2022 17:00,144.18
9/29/2022 18:00,109.83
9/29/2022 19:00,31.58
9/29/2022 20:00,0
9/29/2022 21:00,0
9/29/2022 22:00,0
9/29/2022 23:00,0
9/30/2022 0:00,0
9/30/2022 1:00,0
9/30/2022 2:00,158.85
9/30/2022 3:00,100.11
9/30/2022 4:00,91.53
9/30/2022 5:00,87.49
9/30/2022 6:00,105.5
9/30/2022 7:00,142.97
9/30/2022 8:00,0
9/30/2022 9:00,0
9/30/2022 10:00,0
9/30/2022 11:00,0
9/30/2022 12:00,0
9/30/2022 13:00,0
9/30/2022 14:00,0
9/30/2022 15:00,164.84
9/30/2022 16:00,158.78
9/30/2022 17:00,153.67
9/30/2022 18:00,0
9/30/2022 19:00,155.05
9/30/2022 20:00,0
9/30/2022 21:00,0
9/30/2022 22:00,0
9/30/2022 23:00,0
10/1/2022 0:00,0
10/1/2022 1:00,0
10/1/2022 2:00,0
10/1/2022 3:00,163.56
10/1/2022 4:00,157.36
10/1/2022 5:00,0
10/1/2022 6:00,0
10/1/2022 7:00,0
10/1/2022 8:00,0
10/1/2022 9:00,0
10/1/2022 10:00,0
10/1/2022 11:00,0
10/1/2022 12:00,0
10/1/2022 13:00,0
10/1/2022 14:00,0
10/1/2022 15:00,0
10/1/2022 16:00,0
10/1/2022 17:00,165.71
10/1/2022 18:00,160.1
10/1/2022 19:00,156.64
10/1/2022 20:00,0
10/1/2022 21:00,0
10/1/2022 22:00,0
10/1/2022 23:00,0
