Time,Flow
9/25/2022 0:00,997.9
9/25/2022 1:00,1011.65
9/25/2022 2:00,1025.4
9/25/2022 3:00,938.36
9/25/2022 4:00,768.07
9/25/2022 5:00,243.95
9/25/2022 6:00,0
9/25/2022 7:00,0
9/25/2022 8:00,0
9/25/2022 9:00,0
9/25/2022 10:00,0
9/25/2022 11:00,163.67
9/25/2022 12:00,766.45
9/25/2022 13:00,953.01
9/25/2022 14:00,1020.49
9/25/2022 15:00,956.79
9/25/2022 16:00,806.3
9/25/2022 17:00,222.77
9/25/2022 18:00,-71.32
9/25/2022 19:00,0
9/25/2022 20:00,0
9/25/2022 21:00,0
9/25/2022 22:00,0
9/25/2022 23:00,0
9/26/2022 0:00,463.04
9/26/2022 1:00,897.22
9/26/2022 2:00,1021.21
9/26/2022 3:00,970.6
9/26/2022 4:00,843.26
9/26/2022 5:00,371.24
9/26/2022 6:00,0
9/26/2022 7:00,0
9/26/2022 8:00,0
9/26/2022 9:00,0
9/26/2022 10:00,0
9/26/2022 11:00,0
9/26/2022 12:00,0
9/26/2022 13:00,728.72
9/26/2022 14:00,1001.25
9/26/2022 15:00,1028.89
9/26/2022 16:00,1325.2
9/26/2022 17:00,900.76
9/26/2022 18:00,549.47
9/26/2022 19:00,-239.89
9/26/2022 20:00,0
9/26/2022 21:00,0
9/26/2022 22:00,0
9/26/2022 23:00,419.55
9/27/2022 0:00,946.82
9/27/2022 1:00,1107.75
9/27/2022 2:00,1209.66
9/27/2022 3:00,1644.53
9/27/2022 4:00,1548.68
9/27/2022 5:00,1365.53
9/27/2022 6:00,620.38
9/27/2022 7:00,-212.02
9/27/2022 8:00,0
9/27/2022 9:00,0
9/27/2022 10:00,0
9/27/2022 11:00,0
9/27/2022 12:00,0
9/27/2022 13:00,591.37
9/27/2022 14:00,776.49
9/27/2022 15:00,814.24
9/27/2022 16:00,820.2
9/27/2022 17:00,682.21
9/27/2022 18:00,537.03
9/27/2022 19:00,112.48
9/27/2022 20:00,0
9/27/2022 21:00,0
9/27/2022 22:00,0
9/27/2022 23:00,0
9/28/2022 0:00,0
9/28/2022 1:00,541.27
9/28/2022 2:00,761.44
9/28/2022 3:00,855.48
9/28/2022 4:00,868.35
9/28/2022 5:00,855.55
9/28/2022 6:00,696.73
9/28/2022 7:00,329.2
9/28/2022 8:00,0
9/28/2022 9:00,0
9/28/2022 10:00,0
9/28/2022 11:00,0
9/28/2022 12:00,0
9/28/2022 13:00,150.79
9/28/2022 14:00,529.88
9/28/2022 15:00,805.88
9/28/2022 16:00,819.26
9/28/2022 17:00,907.42
9/28/2022 18:00,745.44
9/28/2022 19:00,523.27
9/28/2022 20:00,264.4
9/28/2022 21:00,0
9/28/2022 22:00,0
9/28/2022 23:00,0
9/29/2022 0:00,0
9/29/2022 1:00,271.11
9/29/2022 2:00,613.17
9/29/2022 3:00,728.22
9/29/2022 4:00,925.7
9/29/2022 5:00,1048.05
9/29/2022 6:00,962.84
9/29/2022 7:00,745.65
9/29/2022 8:00,422.99
9/29/2022 9:00,90.17
9/29/2022 10:00,0
9/29/2022 11:00,0
9/29/2022 12:00,0
9/29/2022 13:00,0
9/29/2022 14:00,439.43
9/29/2022 15:00,682
9/29/2022 16:00,770.63
9/29/2022 17:00,802.07
9/29/2022 18:00,1139.6
9/29/2022 19:00,1030.55
9/29/2022 20:00,712.59
9/29/2022 21:00,402.01
9/29/2022 22:00,0
9/29/2022 23:00,0
9/30/2022 0:00,0
9/30/2022 1:00,0
9/30/2022 2:00,0
9/30/2022 3:00,408.8
9/30/2022 4:00,587.47
9/30/2022 5:00,1130.24
9/30/2022 6:00,1158.44
9/30/2022 7:00,984.16
9/30/2022 8:00,908.33
9/30/2022 9:00,277.95
9/30/2022 10:00,-399.85
9/30/2022 11:00,0
9/30/2022 12:00,0
9/30/2022 13:00,0
9/30/2022 14:00,0
9/30/2022 15:00,0
9/30/2022 16:00,516.53
9/30/2022 17:00,654.62
9/30/2022 18:00,726.96
9/30/2022 19:00,572.76
9/30/2022 20:00,469.73
9/30/2022 21:00,163.02
9/30/2022 22:00,0
9/30/2022 23:00,0
10/1/2022 0:00,0
10/1/2022 1:00,0
10/1/2022 2:00,0
10/1/2022 3:00,0
10/1/2022 4:00,5.84
10/1/2022 5:00,433.62
10/1/2022 6:00,501.68
10/1/2022 7:00,414.58
10/1/2022 8:00,154.6
10/1/2022 9:00,0
10/1/2022 10:00,0
10/1/2022 11:00,0
10/1/2022 12:00,0
10/1/2022 13:00,0
10/1/2022 14:00,0
10/1/2022 15:00,0
10/1/2022 16:00,0
10/1/2022 17:00,0
10/1/2022 18:00,0
10/1/2022 19:00,0
10/1/2022 20:00,0
10/1/2022 21:00,0
10/1/2022 22:00,0
10/1/2022 23:00,0
