Time,Flow
9/25/2022 0:00,852.38
9/25/2022 1:00,852.38
9/25/2022 2:00,826.82
9/25/2022 3:00,761.28
9/25/2022 4:00,617.65
9/25/2022 5:00,258.04
9/25/2022 6:00,0
9/25/2022 7:00,0
9/25/2022 8:00,0
9/25/2022 9:00,0
9/25/2022 10:00,0
9/25/2022 11:00,389.14
9/25/2022 12:00,618.99
9/25/2022 13:00,859.14
9/25/2022 14:00,848.47
9/25/2022 15:00,799.84
9/25/2022 16:00,662.11
9/25/2022 17:00,247.07
9/25/2022 18:00,0
9/25/2022 19:00,0
9/25/2022 20:00,0
9/25/2022 21:00,0
9/25/2022 22:00,0
9/25/2022 23:00,0
9/26/2022 0:00,449.22
9/26/2022 1:00,719.47
9/26/2022 2:00,856.75
9/26/2022 3:00,800.44
9/26/2022 4:00,719.93
9/26/2022 5:00,339.97
9/26/2022 6:00,0
9/26/2022 7:00,0
9/26/2022 8:00,0
9/26/2022 9:00,0
9/26/2022 10:00,0
9/26/2022 11:00,0
9/26/2022 12:00,310.84
9/26/2022 13:00,662.94
9/26/2022 14:00,791.86
9/26/2022 15:00,877.49
9/26/2022 16:00,796.13
9/26/2022 17:00,695.2
9/26/2022 18:00,335.13
9/26/2022 19:00,0
9/26/2022 20:00,0
9/26/2022 21:00,0
9/26/2022 22:00,0
9/26/2022 23:00,302.17
9/27/2022 0:00,684.45
9/27/2022 1:00,870.23
9/27/2022 2:00,1089.1
9/27/2022 3:00,1021.23
9/27/2022 4:00,921.95
9/27/2022 5:00,826.16
9/27/2022 6:00,524.01
9/27/2022 7:00,261.63
9/27/2022 8:00,0
9/27/2022 9:00,0
9/27/2022 10:00,0
9/27/2022 11:00,0
9/27/2022 12:00,0
9/27/2022 13:00,323.41
9/27/2022 14:00,524.92
9/27/2022 15:00,825.73
9/27/2022 16:00,554.19
9/27/2022 17:00,471.45
9/27/2022 18:00,296.55
9/27/2022 19:00,115.87
9/27/2022 20:00,0
9/27/2022 21:00,-170.12
9/27/2022 22:00,0
9/27/2022 23:00,0
9/28/2022 0:00,0
9/28/2022 1:00,572.53
9/28/2022 2:00,662.07
9/28/2022 3:00,832.33
9/28/2022 4:00,638.36
9/28/2022 5:00,622.82
9/28/2022 6:00,496.1
9/28/2022 7:00,391.49
9/28/2022 8:00,0
9/28/2022 9:00,0
9/28/2022 10:00,0
9/28/2022 11:00,0
9/28/2022 12:00,0
9/28/2022 13:00,296.82
9/28/2022 14:00,452.04
9/28/2022 15:00,735.99
9/28/2022 16:00,659.55
9/28/2022 17:00,783.75
9/28/2022 18:00,604.98
9/28/2022 19:00,499.37
9/28/2022 20:00,56.03
9/28/2022 21:00,0
9/28/2022 22:00,0
9/28/2022 23:00,0
9/29/2022 0:00,0
9/29/2022 1:00,558.61
9/29/2022 2:00,510.83
9/29/2022 3:00,620.43
9/29/2022 4:00,666.86
9/29/2022 5:00,623.52
9/29/2022 6:00,630.88
9/29/2022 7:00,580.6
9/29/2022 8:00,206.94
9/29/2022 9:00,0
9/29/2022 10:00,0
9/29/2022 11:00,164.05
9/29/2022 12:00,0
9/29/2022 13:00,0
9/29/2022 14:00,330.96
9/29/2022 15:00,488.6
9/29/2022 16:00,733.16
9/29/2022 17:00,907.09
9/29/2022 18:00,936.41
9/29/2022 19:00,871.98
9/29/2022 20:00,711.03
9/29/2022 21:00,0
9/29/2022 22:00,0
9/29/2022 23:00,0
9/30/2022 0:00,0
9/30/2022 1:00,0
9/30/2022 2:00,217.77
9/30/2022 3:00,430.68
9/30/2022 4:00,595.03
9/30/2022 5:00,1005.36
9/30/2022 6:00,880.09
9/30/2022 7:00,866.66
9/30/2022 8:00,766.52
9/30/2022 9:00,503.87
9/30/2022 10:00,-41.61
9/30/2022 11:00,0
9/30/2022 12:00,0
9/30/2022 13:00,0
9/30/2022 14:00,0
9/30/2022 15:00,0
9/30/2022 16:00,0
9/30/2022 17:00,264.14
9/30/2022 18:00,571.8
9/30/2022 19:00,476.58
9/30/2022 20:00,299.13
9/30/2022 21:00,0
9/30/2022 22:00,0
9/30/2022 23:00,0
10/1/2022 0:00,0
10/1/2022 1:00,0
10/1/2022 2:00,0
10/1/2022 3:00,0
10/1/2022 4:00,190.27
10/1/2022 5:00,358.07
10/1/2022 6:00,559.58
10/1/2022 7:00,311.8
10/1/2022 8:00,62.97
10/1/2022 9:00,58.31
10/1/2022 10:00,0
10/1/2022 11:00,0
10/1/2022 12:00,0
10/1/2022 13:00,0
10/1/2022 14:00,0
10/1/2022 15:00,0
10/1/2022 16:00,0
10/1/2022 17:00,0
10/1/2022 18:00,0
10/1/2022 19:00,307.52
10/1/2022 20:00,62.56
10/1/2022 21:00,0
10/1/2022 22:00,0
10/1/2022 23:00,0
