S26,S25A,S25B,S4
478.01,0,0,0.16
450.28,0,0,0.42
624.99,0,0,0.88
463.35,0,0,1.29
307.77,0,0,1.67
0,0,0,1.91
0,0,0,1.95
345.77,0,0,1.65
719.39,0,0,1.26
813.5,0,0,0.81
800.78,0,0,0.31
492.71,0,0,-0.06
525.4,0,0,-0.2
509.15,0,0,-0.08
451.33,0,0,0.42
599.34,0,0,1
416.37,0,0,1.48
0,0,0,1.88
0,0,0,2.16
0,0,0,2.12
213.27,0,0,1.82
720.13,0,0,1.35
850.45,0,0,0.89
840.61,0,0,0.46
783.59,0,0,0.19
487.07,0,0,0.16
453.64,0,0,0.42
591.52,0,0,0.94
449.12,0,0,1.36
259.46,0,0,1.69
0,0,0,2.02
0,0,0,2.06
249.66,0,0,1.76
724.18,0,0,1.31
851.62,0,0,0.79
828.77,0,0,0.28
503.77,0,0,-0.07
526.78,0,0,-0.17
509.67,0,0,0.02
437.58,0,0,0.54
583.09,0,0,1.11
372.1,0,0,1.64
0,0,0,2.07
0,0,0,2.29
0,0,0,2.18
233.71,0,0,1.75
766.61,152.42,0,1.33
871.08,0,0,0.85
801.56,0,0,0.41
470.9,0,0,0.13
493.07,0,0,0.14
767.86,0,0,0.5
544.73,0,0,1.06
393.51,0,0,1.5
151.39,0,0,1.88
0,0,0,2.12
0,0,0,2.14
206.85,0,0,1.86
713.81,0,0,1.34
858.4,0,0,0.84
821.26,0,0,0.33
496.24,0,0,-0.04
535.93,0,0,-0.13
845.35,0,0,0.17
673.48,0,0,0.72
496.17,0,0,1.27
384.2,121.85,1171.31,1.77
177.34,13.91,923.95,2.16
0,0,636.48,2.35
0,0,566.83,2.25
524.17,161.01,722.36,1.84
796.88,153.95,919.71,1.32
873.19,0,1053.59,0.84
899.11,0,949.55,0.36
810.06,0,872.26,0.15
456.87,0,469.56,0.27
704.55,0,424.15,0.71
488.76,0,337.16,1.26
350.01,0,271.82,1.72
0,0,192.52,2.1
0,0,0,2.34
0,0,0,2.28
357.21,0,0,1.87
783.32,153.83,0,1.34
885.06,0,0,0.85
840.22,0,0,0.33
494.91,0,0,0.03
514.38,0,0,-0.01
835.28,0,0,0.37
582.36,0,0,1.02
409.45,0,0,1.52
0,0,0,2
0,0,0,2.31
0,0,0,2.4
0,0,0,2.12
599.73,157.19,0,1.62
876.38,0,0,1.11
915.8,0,0,0.61
798.84,0,0,0.22
488.72,0,0,0.12
476.8,0,0,0.31
639.77,0,0,0.91
449.84,0,0,1.4
159.32,0,0,1.86
0,0,0,2.21
0,0,0,2.35
0,0,0,2.15
461.03,157.59,0,1.66
860.38,0,0,1.14
916.02,0,0,0.62
873.35,0,0,0.16
696.35,0,0,-0.06
669.12,0,0,0.13
573.66,0,0,0.59
407.97,0,0,1.17
233.93,0,0,1.71
0,0,0,2.18
0,0,0,2.42
0,0,0,2.35
210.5,0,0,1.93
720.72,154.02,0,1.43
864.35,0,0,0.93
897.08,0,0,0.42
831.47,0,0,0.14
494.56,0,0,0.16
742.4,0,0,0.56
534.22,0,0,1.13
360.11,0,0,1.62
0,0,0,2.03
0,0,0,2.32
0,0,0,2.36
0,0,0,2.02
621.19,157.77,0,1.55
790.15,0,0,1.07
887.7,0,0,0.6
624.61,0,0,0.24
504.74,0,0,0.12
741.19,0,0,0.4
598.83,0,0,0.9
402.49,0,0,1.45
0,0,0,1.93
0,0,0,2.28
0,0,0,2.43
0,0,0,2.22
433.71,0,0,1.73
800.58,153.28,0,1.21
872.85,0,0,0.72
834.9,0,0,0.31
480.42,0,0,0.14
476.85,0,0,0.27
675.12,0,0,0.73
499.32,0,0,1.23
188.94,0,0,1.76
0,0,0,2.16
0,0,0,2.37
0,0,0,2.31
212.21,0,210.07,1.88
786.48,0,0,1.41
842.79,0,0,0.94
841.1,0,0,0.47
773.83,0,0,0.21
454.11,0,0,0.29
415.56,0,0,0.67
493.82,0,0,1.21
326.09,0,0,1.66
0,0,0,2.11
0,0,0,2.38
0,0,0,2.38
